title,budget,revenue,imdb_rating,runtime,main_genre,roi
Zatoichi,2500000.0,34196922.0,7.4,111.0,Adventure,1267.88
Pocketful of Miracles,2900000.0,5000000.0,7.1,136.0,Comedy,72.41
The War of the Roses,26000000.0,160188546.0,6.8,116.0,Comedy,516.11
Ghost,22000000.0,505000000.0,7.1,126.0,Fantasy,2195.45
Willy Wonka & the Chocolate Factory,3000000.0,4000000.0,7.8,99.0,Family,33.33
Live and Let Die,7000000.0,126400000.0,6.7,121.0,Adventure,1705.71
King Kong,207000000.0,562363449.0,7.2,200.0,Adventure,171.67
Stolen Kisses,350000.0,1500000.0,7.5,90.0,Comedy,328.57
Oliver Twist,50000000.0,42580321.0,6.8,130.0,Crime,-14.84
Cat on a Hot Tin Roof,3000000.0,17570324.0,7.9,108.0,Drama,485.68
The King of Comedy,19000000.0,2536000.0,7.8,109.0,Drama,-86.65
Contempt,900000.0,528428.0,7.4,103.0,Drama,-41.29
Batman,35000000.0,411348924.0,7.5,126.0,Fantasy,1075.28
Batman Begins,150000000.0,374218673.0,8.2,140.0,Drama,149.48
The Silence of the Lambs,19000000.0,272742922.0,8.6,119.0,Crime,1335.49
Fargo,7000000.0,60611975.0,8.1,98.0,Crime,765.89
Underworld,22000000.0,95708457.0,7.0,122.0,Fantasy,335.04
The Shawshank Redemption,25000000.0,28341469.0,9.3,142.0,Drama,13.37
Amadeus,18000000.0,90007557.0,8.4,160.0,History,400.04
Terminator 2: Judgment Day,102000000.0,520000000.0,8.6,137.0,Action,409.8
Strange Days,42000000.0,7959291.0,7.2,145.0,Crime,-81.05
The Apartment,3000000.0,25000000.0,8.3,125.0,Comedy,733.33
Pirates of the Caribbean: At World's End,300000000.0,961691209.0,7.1,169.0,Adventure,220.56
Bull Durham,7000000.0,50888000.0,7.0,108.0,Comedy,626.97
High Noon,730000.0,8000000.0,7.9,85.0,Western,995.89
Casablanca,878000.0,10462500.0,8.5,103.0,Drama,1091.63
Barton Fink,9000000.0,6153939.0,7.6,117.0,Comedy,-31.62
Riding Giants,2600000.0,3166000.0,7.8,105.0,Documentary,21.77
Dave Chappelle's Block Party,3000000.0,11718595.0,7.2,100.0,Comedy,290.62
A River Runs Through It,12000000.0,43440294.0,7.2,123.0,Drama,262.0
Desert Hearts,350000.0,2400000.0,7.1,91.0,Drama,585.71
Terminator 3: Rise of the Machines,200000000.0,435000000.0,6.3,109.0,Action,117.5
Meet Joe Black,90000000.0,142940100.0,7.2,178.0,Fantasy,58.82
Ocean's Thirteen,85000000.0,311312624.0,6.9,122.0,Crime,266.25
The Science of Sleep,6000000.0,9524340.0,7.2,106.0,Comedy,58.74
Rio Bravo,1200000.0,5750000.0,8.0,141.0,Western,379.17
Swimming Pool,7800000.0,22441323.0,6.7,102.0,Crime,187.71
Notorious,2000000.0,24500000.0,7.9,103.0,Thriller,1125.0
Beverly Hills Cop III,50000000.0,119208989.0,5.5,105.0,Action,138.42
"Rome, Open City",20000.0,1000000.0,8.0,103.0,Drama,4900.0
Broken Flowers,10000000.0,46720491.0,7.1,106.0,Comedy,367.2
Bruce Almighty,80000000.0,484592874.0,6.8,101.0,Fantasy,505.74
Once Upon a Time in America,30000000.0,5500000.0,8.3,229.0,Drama,-81.67
Snow Cake,12000000.0,1381665.0,7.4,112.0,Romance,-88.49
Catwoman,100000000.0,82102379.0,3.4,104.0,Action,-17.9
"Faster, Pussycat! Kill! Kill!",45000.0,36122.0,6.6,83.0,Crime,-19.73
The Million Dollar Hotel,8000000.0,105983.0,5.7,122.0,Drama,-98.68
True Romance,12500000.0,12600000.0,7.9,119.0,Action,0.8
Insomnia,46000000.0,113714830.0,7.2,118.0,Thriller,147.21
Mambo Italiano,4361898.0,3031801.0,6.7,89.0,Comedy,-30.49
Mystic River,25000000.0,156800000.0,7.9,138.0,Thriller,527.2
Snakes on a Plane,33000000.0,62022014.0,5.5,105.0,Action,87.95
Brother,12000000.0,15250000.0,7.1,114.0,Crime,27.08
Jurassic Park,63000000.0,920100000.0,8.2,127.0,Adventure,1360.48
The Lost World: Jurassic Park,73000000.0,618638999.0,6.6,129.0,Adventure,747.45
Jurassic Park III,93000000.0,368780809.0,6.0,92.0,Adventure,296.54
Inspector Gadget,75000000.0,134403112.0,4.2,78.0,Action,79.2
Magnolia,37000000.0,48500000.0,8.0,189.0,Drama,31.08
Once Upon a Time in the West,5000000.0,5380118.0,8.5,166.0,Drama,7.6
"Good Bye, Lenin!",4800000.0,79384880.0,7.7,121.0,Comedy,1553.85
Night on Earth,3500000.0,2015810.0,7.7,128.0,Comedy,-42.41
Everything Is Illuminated,7000000.0,3601974.0,7.4,106.0,Comedy,-48.54
Summer Storm,2700000.0,2085166.0,7.2,98.0,Comedy,-22.77
Eyes Wide Shut,65000000.0,162100000.0,7.5,159.0,Drama,149.38
Seven Samurai,2000000.0,105000000.0,8.6,207.0,Action,5150.0
Alien,11000000.0,104931801.0,8.5,117.0,Horror,853.93
The Devil Wears Prada,35000000.0,326706115.0,7.0,109.0,Drama,833.45
Batman Returns,80000000.0,280000000.0,7.1,126.0,Action,250.0
A Nightmare on Elm Street,1800000.0,57004513.0,7.4,91.0,Horror,3066.92
Raising Arizona,6000000.0,29180280.0,7.3,94.0,Comedy,386.34
Miller's Crossing,14000000.0,5080409.0,7.7,115.0,Drama,-63.71
Rain Man,25000000.0,354825435.0,8.0,134.0,Drama,1319.3
To Catch a Thief,2500000.0,8750000.0,7.4,106.0,Mystery,250.0
Das Boot,14000000.0,85000000.0,8.4,150.0,Drama,507.14
Inside Man,45000000.0,186003591.0,7.6,129.0,Crime,313.34
12 Angry Men,397751.0,4360000.0,9.0,97.0,Drama,996.16
A Fistful of Dollars,200000.0,14500000.0,7.9,99.0,Western,7150.0
Chocolat,25000000.0,152500000.0,7.2,121.0,Comedy,510.0
Kill Bill: Vol. 2,30000000.0,152159461.0,8.0,136.0,Action,407.2
AVP: Alien vs. Predator,70000000.0,177427090.0,5.7,100.0,Adventure,153.47
Who's Afraid of Virginia Woolf?,7500000.0,33736689.0,8.0,131.0,Drama,349.82
Capote,7000000.0,49327405.0,7.3,114.0,Crime,604.68
Things to Do in Denver When You're Dead,8000000.0,529766.0,6.7,116.0,Drama,-93.38
Garden State,2500000.0,26781723.0,7.4,102.0,Comedy,971.27
Basic Instinct,49000000.0,352927224.0,7.1,128.0,Thriller,620.26
Driving Miss Daisy,7500000.0,145793296.0,7.3,99.0,Drama,1843.91
The Straight Story,10000000.0,6418028.0,8.0,112.0,Drama,-35.82
La Haine,2600000.0,15300000.0,8.1,98.0,Drama,488.46
Snow White and the Seven Dwarfs,1488423.0,184925486.0,7.6,83.0,Fantasy,12324.26
The English Patient,27000000.0,231976425.0,7.4,162.0,Drama,759.17
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,745013115.0,6.9,143.0,Adventure,313.9
Batman Forever,100000000.0,336529144.0,5.4,121.0,Action,236.53
Batman & Robin,125000000.0,238207122.0,3.8,125.0,Action,90.57
The Life Aquatic with Steve Zissou,50000000.0,34808403.0,7.2,119.0,Adventure,-30.38
The Pianist,35000000.0,120098945.0,8.5,150.0,Drama,243.14
Schindler's List,22000000.0,321365567.0,9.0,195.0,Drama,1360.75
Ice Age,59000000.0,383257136.0,7.5,81.0,Animation,549.59
Vertigo,2479000.0,7808900.0,8.2,128.0,Mystery,215.0
"The Good, the Bad and the Ugly",1200000.0,38900000.0,8.8,161.0,Western,3141.67
"One, Two, Three",3000000.0,4000000.0,7.8,109.0,Comedy,33.33
Cube,257899.0,8969065.0,7.1,90.0,Thriller,3377.74
Mary Poppins,4650000.0,103100000.0,7.8,139.0,Comedy,2117.2
The Day After Tomorrow,125000000.0,552639571.0,6.5,123.0,Action,342.11
Maria Full of Grace,3000000.0,12450821.0,7.4,101.0,Drama,315.03
Aliens vs Predator: Requiem,40000000.0,130290885.0,4.6,94.0,Action,225.73
Human Nature,6000000.0,1600000.0,6.4,96.0,Drama,-73.33
Popular Music,2224000.0,28000000.0,6.5,105.0,Comedy,1158.99
Caché,8500000.0,16197824.0,7.3,117.0,Mystery,90.56
Leaving Las Vegas,3600000.0,49800000.0,7.5,111.0,Drama,1283.33
The Idiots,2500000.0,7200.0,6.7,114.0,Comedy,-99.71
A Beautiful Mind,58000000.0,316791257.0,8.2,135.0,Drama,446.19
Romeo + Juliet,14500000.0,147298761.0,6.7,120.0,Drama,915.85
Bend It Like Beckham,3500000.0,76585951.0,6.7,112.0,Comedy,2088.17
Erin Brockovich,52000000.0,256271286.0,7.5,131.0,Drama,392.83
Klute,2500000.0,12512637.0,7.1,114.0,Thriller,400.51
The Hole,4158370.0,7819851.0,6.2,102.0,Crime,88.05
My Own Private Idaho,2500000.0,6400000.0,6.9,104.0,Drama,156.0
21 Grams,20000000.0,60427839.0,7.6,124.0,Drama,202.14
Pi,60000.0,3221152.0,7.3,84.0,Mystery,5268.59
Bonnie and Clyde,2500000.0,50700000.0,7.7,111.0,Crime,1928.0
Drugstore Cowboy,2500000.0,4700000.0,7.2,102.0,Drama,88.0
Shaft,46000000.0,107626125.0,6.0,99.0,Action,133.97
Monsoon Wedding,1200000.0,30000000.0,7.3,114.0,Comedy,2400.0
Shaft,1125000.0,12121618.0,6.6,100.0,Action,977.48
Wild at Heart,9500000.0,14569027.0,7.2,125.0,Crime,53.36
The African Queen,1000000.0,10750000.0,7.7,105.0,Romance,975.0
Good Will Hunting,10000000.0,225900000.0,8.3,127.0,Drama,2159.0
The Seventh Seal,150000.0,311212.0,8.1,96.0,Fantasy,107.47
Being John Malkovich,13000000.0,22863596.0,7.7,113.0,Comedy,75.87
Shaft's Big Score!,1978000.0,10000000.0,6.1,105.0,Action,405.56
Shaft in Africa,2142000.0,1458000.0,5.9,112.0,Action,-31.93
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000.0,262552893.0,7.4,84.0,Comedy,1358.63
The Green Mile,60000000.0,286801374.0,8.6,189.0,Fantasy,378.0
Reservoir Dogs,1200000.0,2859750.0,8.3,99.0,Crime,138.31
Poseidon,160000000.0,181700000.0,5.7,98.0,Adventure,13.56
Monster,8000000.0,60400000.0,7.3,110.0,Crime,655.0
Johnny Handsome,20000000.0,7237794.0,6.1,94.0,Crime,-63.81
Marnie,2135000.0,7000000.0,7.1,130.0,Thriller,227.87
Killing Zoe,1500000.0,418961.0,6.4,96.0,Action,-72.07
Love Actually,40000000.0,250779876.0,7.5,135.0,Comedy,526.95
Notting Hill,42000000.0,363889678.0,7.2,124.0,Romance,766.4
One Flew Over the Cuckoo's Nest,3000000.0,108981275.0,8.7,133.0,Drama,3532.71
Scoop,4000000.0,31584901.0,6.6,96.0,Comedy,689.62
Dial M for Murder,1400000.0,3000000.0,8.2,105.0,Thriller,114.29
Ed Wood,18000000.0,5900000.0,7.8,127.0,Comedy,-67.22
Casino,50000000.0,116112375.0,8.2,179.0,Crime,132.22
The Blues Brothers,27000000.0,115229890.0,7.9,133.0,Music,326.78
Ladyhawke,20000000.0,18432000.0,6.9,121.0,Adventure,-7.84
Once Were Warriors,950000.0,6700000.0,7.9,99.0,Drama,605.26
A Grand Day Out,17300.0,40118.0,7.7,24.0,Family,131.9
Wallace & Gromit: The Curse of the Were-Rabbit,30000000.0,192610372.0,7.5,85.0,Adventure,542.03
Terminator Salvation,200000000.0,371353001.0,6.5,115.0,Action,85.68
Flashdance,7000000.0,201521203.0,6.2,95.0,Drama,2778.87
Psycho,806947.0,50048065.0,8.5,109.0,Horror,6102.15
D.E.B.S.,3500000.0,97446.0,5.5,91.0,Action,-97.22
The Man with the Golden Arm,1000000.0,4350000.0,7.3,119.0,Drama,335.0
There's Something About Mary,23000000.0,369900000.0,7.1,120.0,Romance,1508.26
Transamerica,1000000.0,13350369.0,7.3,103.0,Drama,1235.04
The Horse Whisperer,60000000.0,186883563.0,6.7,169.0,Adventure,211.47
Rashomon,250000.0,117668.0,8.1,88.0,Crime,-52.93
Basquiat,3300000.0,3022292.0,6.9,107.0,Drama,-8.42
Fight Club,63000000.0,100853753.0,8.8,139.0,Drama,60.09
The Poseidon Adventure,5000000.0,84563118.0,7.1,117.0,Adventure,1591.26
Dogville,10000000.0,16690617.0,8.0,178.0,Crime,66.91
Spider-Man,139000000.0,821708551.0,7.4,121.0,Action,491.16
Spider-Man 2,200000000.0,788976453.0,7.5,127.0,Action,294.49
Spider-Man 3,258000000.0,894983373.0,6.3,139.0,Action,246.89
Constantine,100000000.0,230900000.0,7.0,121.0,Fantasy,130.9
Die Hard,28000000.0,140767956.0,8.2,132.0,Action,402.74
Starship Troopers,105000000.0,121214377.0,7.3,129.0,Adventure,15.44
The Mummy,80000000.0,415885488.0,7.1,124.0,Adventure,419.86
The Ring,48000000.0,249348933.0,7.1,115.0,Horror,419.48
Rear Window,1000000.0,37042336.0,8.5,112.0,Thriller,3604.23
Apollo 13,52000000.0,355237933.0,7.7,140.0,Drama,583.15
The Birds,2500000.0,11500000.0,7.6,120.0,Horror,360.0
Frenzy,2000000.0,12600000.0,7.4,116.0,Crime,530.0
The Man Who Knew Too Much,1200000.0,11300000.0,7.4,120.0,Thriller,841.67
The Wild Bunch,6244087.0,638641.0,7.9,145.0,Western,-89.77
To Die For,20000000.0,21300000.0,6.8,106.0,Drama,6.5
Jaws,7000000.0,470653000.0,8.1,124.0,Horror,6623.61
Jaws 2,20000000.0,187884000.0,5.8,117.0,Horror,839.42
Jaws: The Revenge,23000000.0,51881012.0,3.1,89.0,Adventure,125.57
Dances with Wolves,22000000.0,424208848.0,8.0,181.0,Adventure,1828.22
The Lives of Others,2000000.0,77672685.0,8.4,137.0,Drama,3783.63
Life of Brian,4000000.0,20833252.0,8.0,94.0,Comedy,420.83
2 Fast 2 Furious,76000000.0,236350661.0,5.9,107.0,Action,210.99
"Monsters, Inc.",115000000.0,579700000.0,8.1,92.0,Animation,404.09
Wag the Dog,15000000.0,64256513.0,7.1,97.0,Comedy,328.38
Big Fish,70000000.0,123200000.0,8.0,125.0,Adventure,76.0
Silent Hill,50000000.0,100605135.0,6.5,125.0,Horror,101.21
The Hours,25000000.0,108846217.0,7.5,110.0,Drama,335.38
The Da Vinci Code,125000000.0,760006945.0,6.6,149.0,Thriller,508.01
The Conversation,1600000.0,4794457.0,7.7,114.0,Crime,199.65
The Terminal,60000000.0,219417255.0,7.4,128.0,Comedy,265.7
To Kill a Mockingbird,2000000.0,13129846.0,8.3,129.0,Drama,556.49
The Grapes of Wrath,800000.0,1591000.0,8.1,129.0,Drama,98.88
Titanic,200000000.0,2264162353.0,7.9,194.0,Drama,1032.08
City of God,3300000.0,30641770.0,8.6,129.0,Drama,828.54
Sunset Boulevard,1752000.0,5000000.0,8.4,110.0,Drama,185.39
Full Metal Jacket,30000000.0,46357676.0,8.2,117.0,Drama,54.53
E.T. the Extra-Terrestrial,10500000.0,792965500.0,7.9,115.0,Science Fiction,7452.05
Independence Day,75000000.0,817400891.0,7.0,145.0,Action,989.87
The Matrix,63000000.0,463517383.0,8.7,136.0,Action,635.74
The Matrix Reloaded,150000000.0,738599701.0,7.2,138.0,Adventure,392.4
The Matrix Revolutions,150000000.0,424988211.0,6.7,129.0,Adventure,183.33
Out of Africa,31000000.0,227514205.0,7.1,161.0,History,633.92
Men in Black,90000000.0,589390539.0,7.3,98.0,Action,554.88
Men in Black II,140000000.0,445135288.0,6.2,88.0,Action,217.95
Poltergeist,10700000.0,122200000.0,7.3,114.0,Horror,1042.06
Munich,70000000.0,130982129.0,7.5,164.0,Drama,87.12
Downfall,16000000.0,92181574.0,8.2,155.0,Drama,476.13
The Passion of the Christ,30000000.0,610063468.0,7.3,127.0,Drama,1933.54
The Last Samurai,140000000.0,456800000.0,7.8,154.0,Drama,226.29
